,case_id,state,isMetro,areaname,county,family_member_count,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes,total_cost,median_family_income,adults,children,residents
3015,302,CO,False,"San Miguel County, CO",San Miguel County,2p0c,13908.0,6391.07736,14668.542,8034.56028,7355.15628,0.0,8411.96484,58769.3028,96787.59375,2,0,2
24692,2498,TN,True,"Hickman County, TN HUD Metro FMR Area",Hickman County,1p2c,9372.0,6900.12744,12669.1788,10959.58524,5896.03344,11281.45824,3966.6756,61045.0608,54046.98828125,1,2,3
13398,1361,MN,False,"Grant County, MN",Grant County,2p3c,12600.0,10505.89668,15801.2016,16674.2712,8372.17824,12752.94,7772.70336,84479.1912,68155.578125,2,3,5
28664,2895,VA,True,"Virginia Beach-Norfolk-Newport News, VA-NC HUD Metro FMR Area",Isle of Wight County,1p4c,17002.6848,12291.9624,14607.2724,15884.2452,10614.60648,17850.18,14406.9144,102657.8676,96625.359375,1,4,5
26540,2683,TX,False,"Kenedy County, TX",Kenedy County,1p0c,6960.0,2593.78128,13412.8596,5386.79004,3461.71176,0.0,4807.02936,36622.1724,41779.5,1,0,1
9961,1003,KY,False,"Ballard County, KY",Ballard County,1p1c,8340.0,4128.4116,12680.802,9447.96612,4517.79708,5833.311,6431.17608,51379.4652,58468.5,1,1,2
27291,2758,TX,False,"San Saba County, TX",San Saba County,1p1c,8808.0,4036.6692,12704.4384,8208.55812,4654.13052,4698.74856,3727.9962,46838.5428,60153.5234375,1,1,2
14058,1427,MS,True,"Benton County, MS HUD Metro FMR Area",Benton County,2p3c,11748.0,10945.16892,15101.5296,20492.514,8222.63016,8557.56744,7493.6016,82561.014,47849.06640625,2,3,5
2156,216,CA,True,"Santa Ana-Anaheim-Irvine, CA HUD Metro FMR Area",Orange County,2p1c,27972.0,8333.1174,14835.4764,10825.1082,13154.7756,11323.7088,14396.6796,100840.8636,104789.6484375,2,1,3
30268,3055,WV,False,"Nicholas County, WV",Nicholas County,2p3c,11016.0,10396.08036,15289.8372,28597.4184,7758.4416,13518.7716,12082.758,98659.3128,50178.93359375,2,3,5
4960,503,GA,True,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Paulding County,1p0c,12188.2308,3154.03824,11338.12788,5125.47984,5559.10872,0.0,7666.3476,45031.3332,78397.140625,1,0,1
9847,991,KS,False,"Thomas County, KS",Thomas County,2p2c,8616.0,9144.55296,15435.8352,16804.6404,6435.34932,9062.00028,6938.9334,72437.3088,73732.2734375,2,2,4
21520,2179,OK,False,"Delaware County, OK",Delaware County,1p0c,6108.0,3195.53868,11229.02928,5518.79004,3371.03904,0.0,5416.44324,34838.8416,52887.703125,1,0,1
4557,462,GA,True,"Gainesville, GA MSA",Hall County,2p2c,11412.0,9204.51636,14664.822,15091.77,7470.17652,11257.93944,8430.2424,77531.4672,74210.7734375,2,2,4
23557,2384,SC,True,"Greenville-Mauldin-Easley, SC HUD Metro FMR Area",Pickens County,2p2c,9767.24556,8844.73248,14717.688,15235.4688,6743.85348,9462.26076,6221.18772,70992.4392,66821.734375,2,2,4
14820,1504,MS,True,"Yazoo County, MS HUD Metro FMR Area",Yazoo County,1p0c,6804.0,3247.41468,10670.67336,5821.47984,3642.02412,0.0,5520.11136,35705.7036,46371.46484375,1,0,1
18243,1851,NM,False,"Socorro County, NM",Socorro County,1p3c,12996.0,9264.84744,13320.6636,10231.95924,8065.98264,15758.8464,7343.04708,76981.3476,50720.07421875,1,3,4
15181,1540,MO,False,"Dunklin County, MO",Dunklin County,1p1c,7944.0,3944.9268,10955.17308,10306.33884,4307.8272,4679.54412,4894.18764,47031.996,46550.1328125,1,1,2
26098,2638,TX,False,"Gillespie County, TX",Gillespie County,2p3c,16608.0,8785.4202,16035.3444,19172.772,9201.03804,10628.53716,5918.57808,86349.6912,75452.203125,2,3,5
7626,769,IN,False,"Pulaski County, IN",Pulaski County,2p1c,8784.0,6344.53272,14116.8696,12221.3016,5481.66396,6297.34572,6691.95708,59937.6684,59798.2421875,2,1,3
1761,177,AR,True,"Fort Smith, AR-OK HUD Metro FMR Area",Sebastian County,1p1c,8753.90556,4311.89652,10640.30052,7186.6362,4734.2556,5634.0,4934.51184,46195.506,56582.22265625,1,1,2
28428,2871,VA,True,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Clarke County,2p3c,18592.2132,12665.6472,17251.0596,18146.8212,11325.9558,18829.7304,15171.258,111982.6872,105748.7109375,2,3,5
4170,424,GA,True,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Clayton County,1p0c,10385.6712,2842.7844,9520.28688,5029.47984,4793.19144,0.0,6444.99612,39016.4088,54749.33984375,1,0,1
30704,3099,WI,True,"Green County, WI HUD Metro FMR Area",Green County,1p4c,13452.0,10096.96944,14158.5048,14291.73,8532.72,18248.8896,10269.05496,89049.8676,82011.5703125,1,4,5
9203,927,KS,False,"Graham County, KS",Graham County,1p3c,11844.0,9205.07304,14485.2156,13913.5812,7626.90888,9957.2556,7126.67208,74158.7052,58240.546875,1,3,4
13740,1396,MN,False,"Pope County, MN",Pope County,1p0c,6084.0,3143.66268,11638.95192,4278.69,3343.5462,0.0,4948.32024,33437.1708,81069.96875,1,0,1
27157,2744,TX,False,"Reagan County, TX",Reagan County,2p2c,11688.0,8694.82032,14363.79,16453.0416,7385.49972,9167.89668,5339.79672,73092.8436,81504.3203125,2,2,4
27697,2798,TX,True,"Austin-Round Rock, TX MSA",Williamson County,2p2c,17941.332,9684.23076,14623.7568,15810.2664,10009.83036,14553.756,8456.0706,91079.244,103549.2421875,2,2,4
18750,1902,NY,True,"Albany-Schenectady-Troy, NY MSA",Schenectady County,1p0c,9029.43384,3496.41756,9660.47388,5668.53996,4538.61,0.0,6382.0254,38775.5004,87621.1171875,1,0,1
24097,2438,SD,False,"Mellette County, SD",Mellette County,2p2c,8628.0,10493.74872,15357.546,24025.5408,6928.56372,11153.49972,7200.17208,83787.0708,42499.3046875,2,2,4
11528,1159,LA,True,"Alexandria, LA MSA",Rapides Parish,2p3c,13199.4864,10359.47388,14356.5012,19570.992,8536.33956,10588.9212,7791.48408,84403.1952,59113.34765625,2,3,5
4437,450,GA,True,"Rome, GA MSA",Floyd County,2p2c,9504.0,8694.82032,13600.1196,15846.192,6594.15012,10482.17508,7206.76176,71928.2172,61637.28515625,2,2,4
30854,3114,WI,False,"Marinette County, WI",Marinette County,1p4c,10956.0,9987.22044,13805.5476,14697.4752,7588.55424,17058.0936,8139.74196,82232.6304,62542.94921875,1,4,5
24003,2429,SD,False,"Kingsbury County, SD",Kingsbury County,1p3c,12348.0,9683.25948,14767.512,16035.582,7982.7942,13132.818,6267.28128,80217.246,73825.7109375,1,3,4
16378,1659,MT,False,"Powell County, MT",Powell County,2p3c,10956.0,11896.92264,16052.268,17576.4492,8280.51492,17094.6876,9917.031,91773.8736,69766.671875,2,3,5
3910,398,GA,False,"Baldwin County, GA",Baldwin County,1p0c,7176.0,2925.78516,10318.44804,5074.79004,3660.27504,0.0,5557.299,34712.5956,64543.203125,1,0,1
14390,1461,MS,False,"Lawrence County, MS",Lawrence County,1p0c,7116.0,3029.53656,11734.98708,5914.79004,3676.12788,0.0,5844.9492,37316.3904,58840.2109375,1,0,1
19262,1953,NC,True,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",Gaston County,1p2c,10742.58468,6384.85764,12578.6256,9667.64136,6205.94748,14044.2324,7219.85964,66843.75,66341.1796875,1,2,3
18928,1919,NC,True,"Hickory-Lenoir-Morganton, NC MSA",Alexander County,2p3c,10224.50028,10322.86812,15025.4844,19068.3432,7445.12184,13337.508,8013.906,83437.728,61949.44140625,2,3,5
5218,528,GA,True,"Albany, GA MSA",Terrell County,2p3c,10086.58956,11274.62112,14052.1884,18188.7096,7740.00876,10623.99972,6906.46872,78872.5896,42230.2734375,2,3,5
5745,581,ID,False,"Gooding County, ID",Gooding County,2p0c,6864.0,5839.46628,13674.6096,10098.56028,4602.96684,0.0,5918.33208,46997.9352,61329.23828125,2,0,2
8305,837,IA,False,"Hardin County, IA",Hardin County,2p0c,6516.0,5554.15104,14253.2052,9709.37988,4373.49168,0.0,6414.63276,46820.8596,71949.703125,2,0,2
14364,1458,MS,False,"Lafayette County, MS",Lafayette County,1p4c,14844.0,13755.2928,13250.37,17604.6036,10362.65184,5279.71584,8080.96068,83177.5956,73548.46875,1,4,5
953,96,AK,False,"Yukon-Koyukuk Census Area, AK",Yukon-Koyukuk Census Area,1p3c,13536.0,9228.16992,11650.71168,15940.4376,8248.35648,19092.8364,7591.29708,85287.8088,52926.72265625,1,3,4
10577,1064,KY,False,"Lee County, KY",Lee County,2p2c,7956.0,8245.08912,14337.6888,13794.5988,5870.29392,10545.39768,6834.29664,67583.3676,35567.19921875,2,2,4
4546,461,GA,False,"Habersham County, GA",Habersham County,2p1c,8220.0,6936.37428,14086.3764,12684.624,5491.75236,5143.36488,6922.3044,59484.7968,62868.453125,2,1,3
11052,1112,KY,False,"Union County, KY",Union County,1p2c,7956.0,6183.23076,12792.7776,12908.0916,5123.20128,10564.91376,6460.95336,61989.1704,56810.1796875,1,2,3
2167,217,CA,True,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",Placer County,2p2c,21447.18,11393.21412,15950.9412,16442.244,11899.36968,15440.6868,13628.5704,106202.2032,111357.234375,2,2,4
9828,989,KS,False,"Stevens County, KS",Stevens County,2p3c,10860.0,10652.32248,15585.0264,20649.3408,7794.7632,9962.46612,7441.86696,82945.7868,64518.5625,2,3,5
3552,362,FL,True,"Tallahassee, FL HUD Metro FMR Area",Leon County,1p2c,12698.682,7796.24784,11542.78716,10289.68872,7426.12128,11707.6164,5053.65636,66514.7988,79507.140625,1,2,3
1621,163,AR,False,"Ouachita County, AR",Ouachita County,1p1c,7848.0,4235.44488,11477.56932,7238.58624,4378.30848,4780.67688,4432.64064,44391.2256,49738.42578125,1,1,2
22906,2317,PA,True,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Montgomery County,2p1c,17173.4928,8593.52712,12987.6564,11846.45064,9336.408,12074.9688,11282.07792,83294.5776,116070.359375,2,1,3
7155,722,IN,False,"Dubois County, IN",Dubois County,2p0c,6792.0,5173.72956,13158.2772,9061.37988,4335.65592,0.0,5821.03896,44342.0796,76467.734375,2,0,2
28474,2876,VA,True,"Richmond, VA MSA",Dinwiddie County,1p4c,16650.6948,11304.21612,15256.6476,15203.1,10129.16676,17782.08,13555.6944,99881.6016,76677.2109375,1,4,5
24046,2433,SD,False,"Lyman County, SD",Lyman County,2p1c,8628.0,7906.9914,15284.9028,16176.3432,5991.27984,5342.85972,6257.31228,65587.6872,60582.73828125,2,1,3
19216,1948,NC,False,"Duplin County, NC",Duplin County,2p1c,8388.0,6770.658,13649.7228,13853.1588,5492.57928,6337.29348,7263.01536,61754.4252,53993.59375,2,1,3
27880,2817,UT,False,"Iron County, UT",Iron County,1p0c,5808.0,3081.41232,11312.42652,4821.2802,3220.98444,0.0,5162.75568,33406.86,65554.625,1,0,1
31133,3142,WI,False,"Washburn County, WI",Washburn County,1p3c,11592.0,9145.3008,14092.7232,13674.4836,7513.9416,17302.008,10276.18728,83596.6404,67513.8125,1,3,4
24250,2454,SD,True,"Sioux City, IA-NE-SD HUD Metro FMR Area",Union County,1p0c,7074.6768,3205.9134,10844.1672,6385.34988,3725.06328,0.0,4691.41584,35926.5876,98015.6796875,1,0,1
2416,242,CA,True,"Oxnard-Thousand Oaks-Ventura, CA MSA",Ventura County,2p1c,23076.0,8214.75,16377.6372,13671.5388,11337.873,10332.2454,13165.5396,96175.5816,102284.1953125,2,1,3
28244,2853,VA,True,"Richmond, VA MSA",Amelia County,1p4c,13685.0484,11706.63204,16031.9076,15203.1,9200.40744,16379.6328,11745.78144,93952.512,84043.65625,1,4,5
30298,3058,WV,False,"Pleasants County, WV",Pleasants County,2p3c,10788.0,10139.83884,15758.8068,25497.756,7582.9812,13473.2712,10935.156,94175.8128,72961.125,2,3,5
19313,1958,NC,True,"Greensboro-High Point, NC HUD Metro FMR Area",Guilford County,1p3c,14083.0836,9324.6204,12151.464,11036.77884,8481.53472,15297.2748,8810.65644,79185.4164,69161.8671875,1,3,4
266,27,AL,False,"Escambia County, AL",Escambia County,2p1c,7608.0,7078.41504,13371.3624,14182.746,5321.46756,4896.27684,7261.4334,59719.6992,50277.51171875,2,1,3
13049,1326,MI,True,"Detroit-Warren-Livonia, MI HUD Metro FMR Area",St. Clair County,2p4c,13957.3728,12946.296,15212.616,16998.7896,9748.26048,19998.4452,8936.78904,97798.5708,74409.9765625,2,4,6
4341,441,GA,True,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Douglas County,1p1c,13286.6376,4587.1242,11909.14452,7743.47172,6476.3694,7588.31544,7865.47632,59456.5368,75780.7890625,1,1,2
2462,247,CO,True,"Denver-Aurora-Lakewood, CO MSA",Arapahoe County,1p2c,19425.5268,7639.4268,11817.15012,7923.40428,9806.70048,21086.4864,13432.5396,91131.234,96874.875,1,2,3
16392,1661,MT,False,"Ravalli County, MT",Ravalli County,1p2c,10236.0,8557.94892,13683.3924,10046.54004,6809.78832,16034.3376,9727.3044,75095.3148,68012.8515625,1,2,3
1303,131,AR,False,"Dallas County, AR",Dallas County,1p3c,11232.0,8637.2292,12747.3876,12022.1772,7199.40528,10428.97776,6072.17976,68339.3556,53087.93359375,1,3,4
5669,573,ID,False,"Cassia County, ID",Cassia County,2p4c,12720.0,14245.4028,15934.7064,20236.6284,9770.62944,13586.1612,7785.30468,94278.8316,60098.07421875,2,4,6
22205,2247,OR,False,"Grant County, OR",Grant County,2p0c,7512.0,6010.65672,14495.9064,11058.56028,4899.79176,0.0,8717.781,52694.6952,57667.578125,2,0,2
1463,147,AR,False,"Johnson County, AR",Johnson County,1p3c,10536.0,8457.90816,12886.5,12022.1772,6882.24168,10393.26924,5688.21492,66866.3148,47222.703125,1,3,4
17771,1804,NJ,True,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Burlington County,1p1c,17849.8224,5152.86912,11160.43872,7183.09932,8334.78228,10695.44532,8590.9182,68967.3756,108317.828125,1,1,2
30851,3114,WI,False,"Marinette County, WI",Marinette County,1p1c,8808.0,4174.2828,11682.59184,7414.38576,4703.99304,8263.30152,5888.68764,50935.242,62542.94921875,1,1,2
6052,612,IL,False,"Christian County, IL",Christian County,1p2c,8808.0,5914.39488,12781.1544,12114.9456,5334.50424,11870.70708,6803.89092,63627.5976,66614.3125,1,2,3
16252,1647,MT,False,"Lincoln County, MT",Lincoln County,1p2c,9132.0,7146.56028,14045.7324,10046.54004,5898.36396,15074.928,8186.63304,69530.76,51845.47265625,1,2,3
10069,1013,KY,False,"Breckinridge County, KY",Breckinridge County,2p4c,9900.0,12722.31,15468.4044,18495.1668,8196.95508,11869.26192,6872.60964,83524.7112,64677.71875,2,4,6
8304,837,IA,False,"Hardin County, IA",Hardin County,1p4c,11808.0,10682.30268,14565.3924,14303.1264,8149.12356,11421.72288,7758.3984,78688.0668,71949.703125,1,4,5
18432,1870,NY,True,"Buffalo-Cheektowaga-Niagara Falls, NY MSA",Erie County,1p2c,11315.04636,7124.15772,11421.21312,8598.02052,6681.25044,25274.5464,10800.6174,81214.8516,80262.8828125,1,2,3
2806,281,CO,False,"Las Animas County, CO",Las Animas County,2p1c,10236.0,7480.86696,14678.976,10895.25588,6419.51952,7642.62372,7634.73048,64987.9752,56722.8984375,2,1,3
20670,2094,OH,False,"Fayette County, OH",Fayette County,1p0c,6420.0,2666.40732,10645.71384,4614.69,3292.3638,0.0,4465.52532,32104.6992,58714.94140625,1,0,1
6690,676,IL,False,"Pike County, IL",Pike County,1p0c,6336.0,2873.90976,11457.30912,6126.69,3337.1136,0.0,5967.44352,36098.4672,64211.5390625,1,0,1
12554,1277,MI,True,"Flint, MI MSA",Genesee County,1p4c,12024.0,10682.30268,13003.8252,11782.24728,8227.38864,18595.5816,6928.50804,81243.8556,62796.57421875,1,4,5
22126,2239,OR,False,"Clatsop County, OR",Clatsop County,2p1c,12336.0,7693.92924,14263.2936,13082.514,7257.6336,7141.76736,11395.06644,73170.2052,73672.71875,2,1,3
25972,2626,TX,False,"Fannin County, TX",Fannin County,1p2c,9252.0,6564.0828,12766.8408,10946.25072,5730.79032,8442.16404,3237.88296,56940.012,70378.65625,1,2,3
29468,2975,VA,True,"Roanoke, VA HUD Metro FMR Area",Roanoke city,2p3c,14392.4376,10469.29104,13616.9616,19194.006,9008.38404,16478.3256,10309.6794,93469.0836,56098.5859375,2,3,5
22675,2294,PA,True,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Delaware County,2p0c,11799.68484,7018.77324,11091.79464,9465.0798,6818.66964,0.0,7662.46512,53856.4692,99224.2578125,2,0,2
14729,1494,MS,True,"Tunica County, MS HUD Metro FMR Area",Tunica County,2p4c,12144.0,13887.0276,12792.6708,22589.0664,9432.06888,8925.15816,6517.06272,86287.0548,42712.8828125,2,4,6
31244,3153,WY,False,"Converse County, WY",Converse County,1p4c,12288.0,11706.63204,15281.4828,21712.008,8694.20136,23696.3604,10887.35964,104266.0428,84359.921875,1,4,5
10770,1084,KY,False,"Metcalfe County, KY",Metcalfe County,1p0c,5700.0,2749.40844,11613.3318,4870.79004,3061.55388,0.0,5433.22848,33428.3112,45157.75390625,1,0,1
21472,2174,OK,True,"Lawton, OK HUD Metro FMR Area",Comanche County,1p2c,9072.0,6496.87356,11509.45536,10839.96096,5641.21692,14517.1212,6274.15644,64350.7848,66056.75,1,2,3
23798,2408,SD,False,"Davison County, SD",Davison County,2p3c,11664.0,11713.89336,14554.2672,22534.272,8470.7322,13649.04,6378.14868,88964.3556,72234.1328125,2,3,5
14477,1469,MS,True,"Marshall County, MS HUD Metro FMR Area",Marshall County,2p2c,8412.0,8035.21368,14173.338,16888.014,5959.47396,7656.52956,5913.6954,67038.264,51422.421875,2,2,4
22514,2278,PA,True,"Altoona, PA MSA",Blair County,1p4c,12036.0,11231.05008,12944.112,10601.34816,8430.56988,19519.5708,7167.63276,81930.2808,66065.984375,1,4,5
7324,739,IN,False,"Jackson County, IN",Jackson County,1p4c,11928.0,9255.55596,13405.8768,14769.174,7675.63764,15338.31,5791.64832,78164.2032,63763.84375,1,4,5
12329,1254,MI,False,"Alger County, MI",Alger County,2p4c,10956.0,13663.044,16021.0512,23320.746,8920.4502,15624.732,8820.85176,97326.8784,60201.78515625,2,4,6
18048,1831,NM,False,"Eddy County, NM",Eddy County,2p3c,17616.0,11347.83396,15094.2264,14309.238,10494.73896,18363.0408,10386.7734,97611.8496,76509.8359375,2,3,5
30008,3029,WV,True,"Charleston, WV HUD Metro FMR Area",Clay County,2p3c,8208.09084,10322.86812,15627.5748,28534.878,6714.49728,15218.04,11374.03932,95999.988,46735.98828125,2,3,5
15142,1536,MO,False,"Daviess County, MO",Daviess County,1p2c,7944.0,6743.3064,12981.1752,10535.904,5321.79012,9059.89968,5031.36324,57617.4372,62312.9375,1,2,3
29918,3020,WA,False,"Whitman County, WA",Whitman County,2p3c,14976.0,13251.3408,14696.9052,14937.5484,10227.87816,14631.3468,6406.83624,89127.8556,73667.578125,2,3,5
22097,2236,OR,False,"Baker County, OR",Baker County,2p2c,9732.0,9444.375,14738.142,16604.5896,6948.35664,14136.8076,11626.32792,83230.5996,59848.5546875,2,2,4
11048,1111,KY,True,"Louisville, KY-IN HUD Metro FMR Area",Trimble County,2p3c,12289.734,10103.23248,15853.7904,16136.2296,8113.8552,17310.6372,9863.23464,89670.7152,62425.890625,2,3,5
31366,3165,WY,False,"Sheridan County, WY",Sheridan County,2p1c,10392.0,8072.7078,14878.9596,18086.2416,6690.4914,8513.94948,7758.11724,74392.4652,84028.2578125,2,1,3
21235,2150,OH,True,"Union County, OH HUD Metro FMR Area",Union County,2p0c,9840.0,5592.19296,13869.5844,9002.69976,5591.69244,0.0,6522.62472,50418.7968,102126.0625,2,0,2
